Tanggal,P,Wf,Wl
15-02-2024,2.5,0.6212257306053772,1.5
16-02-2024,2.3,0.5670641441518459,1.3285333333333333
17-02-2024,0.25,0.3155745510502935,1.1445333333333334
18-02-2024,20.2,2.1618842447179882,1.2522666666666669
19-02-2024,0.0,2.136513343087668,1.2434666666666667
20-02-2024,8.95,0.9576762980063291,1.1408
21-02-2024,8.95,1.8695890815811416,1.1674666666666667
22-02-2024,25.2,3.4143097574730366,0.9432
23-02-2024,9.85,3.4581302483765146,0.9312
24-02-2024,3.6,1.3554777559122104,0.9362666666666667
25-02-2024,0.0,0.39974448143391983,0.9229333333333334
26-02-2024,0.5,0.09829459458474743,0.9133333333333333
27-02-2024,36.2,3.7456455638974546,1.1050666666666666
28-02-2024,0.0,3.697350969312707,0.9973333333333334
29-02-2024,36.65,3.800196422837576,1.1928
