Tanggal,P,Wf,Wl,vx,h1,h2,gate
13-01-2024,0.1,0.304638232056315,0.894133333333333,2.90045467318284,0.894133333333333,0.346006590784309,23.0671060522873
14-01-2024,0,0.059610309312414,0.878133333333333,2.86483929400053,0.878133333333333,0.319541089727292,21.3027393151528
15-01-2024,0,0.05,0.872266666666667,2.85105158044382,0.872266666666667,0.309657651088237,20.6438434058824
16-01-2024,9.15,0.93554551040605,0.921066666666667,2.96438554126371,0.921066666666667,0.392050236353381,26.1366824235588
17-01-2024,46.3,5.64632522403945,1.1592,3.40862242100514,1.1592,0.77448148873491,51.632099248994
18-01-2024,12.5,6.044883725929,1.21706666666667,3.49331232539749,1.21706666666667,0.862140418082266,57.476027872151
19-01-2024,10.95,2.4293216547969,1.0672,3.2871976292987,1.0672,0.641042214784252,42.7361476522835
20-01-2024,18.35,2.97105027366954,1.0416,3.25986089379515,1.0416,0.606320134907998,40.4213423271999
21-01-2024,18.15,3.7128409543996,1.1296,3.38096986502475,1.1296,0.735312193078771,49.0208128719181
22-01-2024,5.85,2.48096730229189,1.1472,3.39787446781327,1.1472,0.75875284908345,50.58352327223
23-01-2024,9.95,1.66324895435999,1.19973333333333,3.47107010935272,1.19973333333333,0.836911911520995,55.794127434733
24-01-2024,0,1.06928997529946,1.19973333333333,3.47173012299447,1.19973333333333,0.837145466203222,55.8096977468815
25-01-2024,2.75,0.332382520509939,1.2144,3.4959022964544,1.2144,0.860396374431964,57.3597582954643
26-01-2024,2.15,0.55180325551508,1.17706666666667,3.4367176530961,1.17706666666667,0.80215047029064,53.476698019376
27-01-2024,1.5,0.415214936557171,0.938133333333333,3.00703822083275,0.938133333333333,0.422098412922986,28.1398941948658
28-01-2024,0,0.19579420155203,0.871466666666667,2.84689866701839,0.871466666666667,0.307651581053573,20.5101054035715
29-01-2024,0.5,0.0969781173491161,0.815733333333333,2.71438052766691,0.815733333333333,0.214356047348486,14.2904031565657
30-01-2024,38.6,3.835253830195,0.923733333333333,2.96745377699408,0.923733333333333,0.395644542232234,26.3763028154823
31-01-2024,21.35,5.8647776224334,0.9408,3.02361891701449,0.9408,0.429861536968802,28.6574357979201
01-02-2024,27.1,4.82991775241226,1.05413333333333,3.27488805286844,1.05413333333333,0.623858499430195,41.5905666286797
02-02-2024,13,4.05450166488331,1.0704,3.31091692298537,1.0704,0.652218902696784,43.4812601797856
03-02-2024,0.2,1.37110675784585,1.07146666666667,3.28062557070871,1.07146666666667,0.643108875391836,42.8739250261224
04-02-2024,2.7,0.340289297691822,1.0712,3.26805612637092,1.0712,0.638646832064756,42.5764554709837
05-02-2024,10.6,1.39050843462028,1.11626666666667,3.34738363340978,1.11626666666667,0.710461018818534,47.3640679212356
06-02-2024,113.15,13.4454834650858,1.5,3.97080920766826,1.5,1.32672995737528,88.4486638250189
07-02-2024,34.75,16.2172830681328,1.5,4.04493299430162,1.5,1.35701319716564,90.4675464777094
08-02-2024,0,3.89203967576276,1.5,3.87589963395994,1.5,1.28877237372736,85.9181582484905
09-02-2024,1.65,0.229502344201872,1.5,3.94892019060034,1.5,1.3178943257763,87.8596217184201
10-02-2024,28.2,3.30720593325771,1.5,3.88755145359984,1.5,1.29338289013182,86.2255260087878
11-02-2024,3.95,3.55393795991258,1.5,3.88263536171229,1.5,1.29143595066354,86.0957300442362
12-02-2024,67.25,7.91300027405395,1.5,4.00183860262882,1.5,1.33933884819012,89.2892565460082
13-02-2024,12.1,8.83087338794937,1.5,3.99683867496758,1.5,1.3373004787827,89.15336525218
14-02-2024,2.65,1.68847272062567,1.5,3.9198180089185,1.5,1.3062226923059,87.0815128203935
15-02-2024,2.5,0.621225730605377,1.5,3.94110457439594,1.5,1.31475133875253,87.6500892501687
16-02-2024,2.3,0.567064144151846,1.32853333333333,3.67367919126703,1.32853333333333,1.03949331296373,69.299554197582
17-02-2024,0.25,0.315574551050293,1.14453333333333,3.38459709752869,1.14453333333333,0.751496305433213,50.0997536955475
18-02-2024,20.2,2.16188424471799,1.25226666666667,3.54423415089817,1.25226666666667,0.915605694005755,61.0403796003836
