Tanggal,RR,ARR,ARRM,Qr,Q,vx,Wf,Wl
25-01-2024,2.75,133.95,252.75,0.22,0.564765041019879,3.50217337984154,0.332382520509939,1.2144
26-01-2024,2.15,126.95,254.9,0.172,0.438841470010281,3.45163640188594,0.55180325551508,1.17706666666667
27-01-2024,1.5,82.15,256.4,0.12,0.29158840310406,3.01696444906771,0.415214936557171,0.938133333333333
28-01-2024,0,69.65,255.8,0,0,2.84462298657815,0.19579420155203,0.871466666666667
29-01-2024,0.5,59.2,240.55,0.04,0.0939562346982322,2.67366174673878,0.0969781173491161,0.815733333333333
30-01-2024,38.6,79.45,263.4,3.088,7.47655142569177,2.98226556493735,3.835253830195,0.923733333333333
31-01-2024,21.35,82.65,282.55,1.708,4.15300381917503,3.02325141556816,5.8647776224334,0.9408
01-02-2024,27.1,103.9,299.05,2.168,5.40683168564949,3.25633048441236,4.82991775241226,1.05413333333333
02-02-2024,13,106.95,312.05,1.04,2.60217164411713,3.28511850208254,4.05450166488331,1.0704
03-02-2024,0.2,107.15,309.25,0.016,0.0400418715745676,3.28697123039201,1.37110675784585,1.07146666666667
04-02-2024,2.7,107.1,310.85,0.216,0.540536723809076,3.2865084447035,0.340289297691822,1.0712
05-02-2024,10.6,115.55,321.45,0.848,2.14048014543148,3.36114767074458,1.39050843462028,1.11626666666667
06-02-2024,113.15,227.2,432.95,9.052,24.6504867847401,3.94902396617252,13.4454834650858,1.5
07-02-2024,34.75,261.95,466.05,2.78,7.68407935152553,4.05178227530345,16.2172830681328,1.5
08-02-2024,0,261.45,427,0,0,4.05045491708549,3.89203967576276,1.5
09-02-2024,1.65,224.5,405.5,0.132,0.359004688403743,3.94003579427941,0.229502344201872,1.5
10-02-2024,28.2,231.35,432.05,2.256,6.15540717811168,3.96252829146701,3.30720593325771,1.5
11-02-2024,3.95,208.2,433.45,0.316,0.85246874171349,3.8821067101373,3.55393795991258,1.5
12-02-2024,67.25,262.45,500.6,5.38,14.8735318063944,4.05310568513342,7.91300027405395,1.5
13-02-2024,12.1,274.35,512.7,0.968,2.68821496950433,4.08348098704544,8.83087338794937,1.5
14-02-2024,2.65,274.3,515.35,0.212,0.588730471747008,4.08335770371903,1.68847272062567,1.5
15-02-2024,2.5,266.2,508.7,0.2,0.553720989463746,4.06290717167782,0.621225730605377,1.5
16-02-2024,2.3,155.35,464.7,0.184,0.480407298839946,3.63721673151824,0.567064144151846,1.32853333333333
17-02-2024,0.25,120.85,452.45,0.02,0.050741803260641,3.40456735805086,0.315574551050293,1.14453333333333
18-02-2024,20.2,141.05,461.7,1.616,4.17302668617534,3.55000704987301,2.16188424471799,1.25226666666667
19-02-2024,0,139.4,443.35,0,0,3.53917984176624,2.13651334308767,1.24346666666667
20-02-2024,8.95,120.15,434.15,0.716,1.81535259601266,3.39897211247078,0.957676298006329,1.1408
21-02-2024,8.95,125.15,437.25,0.716,1.82382556714963,3.43805415997759,1.86958908158114,1.16746666666667
22-02-2024,25.2,83.1,452.5,2.016,4.90479394779645,3.02887356106283,3.41430975747304,0.9432
23-02-2024,9.85,80.85,462.35,0.788,1.91146654895658,3.00041743546776,3.45813024837651,0.9312
24-02-2024,3.6,81.8,463.2,0.288,0.69948896286784,3.01253820232167,1.35547775591221,0.936266666666667
25-02-2024,0,79.3,461.05,0,0,2.98029988038116,0.39974448143392,0.922933333333333
